S220118,84,B,69.7,25,42,,,Charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220119,91,B,69.7,26,45,,,Charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220120,88,B,69.7,17,43,,,Charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220121,92,B,42.21,55,156,,,Charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220122,90,B,69.7,25,44,,,tabun frags,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220123,87,B,69.7,17,36,,,tabun frags,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220124,62,B,42.21,53,154,,,phytoliths in soil,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220125,61,B,42.21,53,154,,,phytoliths in soil,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220126,163,B,24.42,68,200,,,sea urchin fossil,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220127,197,B,24.42,39,197,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220128,82,B,69.7,25,42,,B22.1215,seed for carbon dating,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220129,80,B,69.7,25,42,,,tabun frags,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220130,169,B,24.42,61,210,,,sea urchin fossil,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220131,81,B,69.7,17,40,,,glass,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220132,166,B,24.42,6,210,,,mudbrick,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220133,93,B,25.61,4,133,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220134,65,B,42.21,53,154,,B22.1202,Phytoliths to Jeff,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220135,70,B,42.21,53,154,,B22.1210,phytoliths to Betty,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220136,,B,69.7,32,49,,,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220137,,B,69.7,29,48,,,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220138,93,B,42.21,55,156,,,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220139,196,B,24.42,61,217,,,plaster,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220140,56,B,41.3,27,77,,B22.1304,mortar soil,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220141,102,B,69.7,29,48,,B22.1339,charcoal for dating,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220142,94,B,42.21,56,162,,,crystalized calcite,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220143,98,B,69.7,29,48,,B22.1335,charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220144,,B,69.7,17,47,,,bulk charcoal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220145,60,B,41.3,27,77,,,soil to Betty small mortar,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220146,171,B,24.42,39,209,,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220147,95,B,25.61,5,145,,,shell,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220148,103,B,69.7,17,43,,,metal,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220149,118,B,25.62,39,297,,,slag,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220150,97,B,25.61,5,145,,,fossil,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220151,96,B,25.61,5,145,,,shell,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
S220152,,B,41.3,,,C/U,,ceramic tech,,,,,,,,,,,,,,,,,,,,,,CNEA,,,,,,,,,,,,,,,,,,
